codmpio;ano;p_achiote;p_aguacate;p_ahuyama;p_aji;p_algodon;p_amaranto;p_arracacha;p_arrozr;p_bananoe;p_cacao;p_cafe;p_calendula;p_canap;p_coco;p_frijol;p_frijola;p_limon;p_lulo;p_maizt;p_maiztr;p_malanga;p_mango;p_maracuya;p_melon;p_name;p_naranja;p_palmaa;p_patilla;p_pina;p_platano;p_sorgo;p_tomate;p_tomatea;p_yuca;p_zaragoza;vrf_peq;vrf_medianos;vrf_grandes;nuf_peq;nuf_medianos;nuf_grandes;y_total;y_corr;y_corr_tribut;y_corr_tribut_IyC;y_corr_tribut_gasol;y_corr_tribut_otros_1;y_corr_tribut_otros_2;y_no_tribut;y_transf;y_transf_nal;y_transf_otra;g_total;g_corr;g_func;g_func_personal;g_func_general;g_func_trans;g_int_deudap;g_otros;deficit;y_cap_regalias;y_cap_transf;y_cap_cofinan;y_cap_otros;g_cap_FBKF;g_cap_resto;deficit_total;finan_credito;finan_credito_desemb;finan_credito_amort;finan_credito_balance;% ingresos corrientes destinados a funcionamiento;Magnitud de la deuda;% ingresos transferencias;% ingresos propios;% gasto destinado a inversi?n;Capacidad de ahorro;Indicador de desempe?o fiscal;Posici?n nacional seg?n desempe?o fiscal;Posici?n departamental seg?n desempe?o fiscal;DI_eficacia;DI_eficiencia;DI_rlegales;DI_capadmin;DI_gestion;DI_desemp_int;DI_rango_indice;DI_p_nal;DI_p_dep;indesarrollo_mun;indesarrollo_dep;total_inv_educ;inv_tranporte;inv_cult;inv_agropecuario;inv_aguasani;inv_ambiental;inv_dllocomun;inv_dyr;inv_en_educacion;inv_equipamiento;inv_gruposvunera;inv_en_justicia;inv_prevdesastr;inv_en_salud;inv_en_vivienda;inv_total;categoria;SGP_total;SGP_educaciontot;SGP_educacion_ps;SGP_educacion_c;SGP_educacion_cg;SGP_educacion_cm;SGP_saludtot;SGP_salud_rs;SGP_salud_sp;SGP_salud_of;SGP_propgeneral_ap;SGP_agua;SGP_propgeneraltot;SGP_progeneral_ld;SGP_propgeneral_de;SGP_propgeneral_ct;SGP_propgeneral_li;SGP_progeneral_fp;SGP_alimescolar;SGP_riberenos;SGP_resgindigena;SGP_fp;SGP_pinfancia;IGA_total;IGA_contratacion;IGA_simat;IGA_regalias;IGA_dialogo_informacion;coddepto;codprovincia;depto;provincia;municipio;pobl_rur;pobl_urb;pobl_tot;indrural;sisben3_pobl_1;sisben3_pobl_2;sisben3_pobl_3;sisben3_pobl_4;sisben3_pobl_5;sisben3_pobl_6;sisben3_pobl_7;sisben3_pobl_8;sisben3_pobl_9;sisben3_pobl_10;desactilosivo;asalt_pob;incur_pob;terrorismot;secuestros;pirateria_terr;reten_ileg;hostig_MD;ataq_instpol;acc_subversivas;emboscada;cont_arm;homic_vict;homic_caso;homicidios;homi_tr;desmovilizados;capturas_MD;coca;eventos_minas;o_acto_terror;o_amenazas;o_delito_sex;o_desap_for;o_desplaza;o_homic;o_minas_anti;o_perd_mue;o_secuest;o_hsininfo;o_tortura;o_vinc_mened;desplazados_expulsion;desplazados_recepcion;hurto_pers;hurto_resi;hurto_auto;hurto_moto;hurto_comer;hurto_entfin;hurto_vehi;hurto;pobsimple_primaria;pobsimple_primaria_p;pobsimple_secund;pobsimple_secundaria_p;asistesc;asistesc_5_a_24;librosleidosprom;anos_est_mun;t_establ;t_establ_o;t_establ_p;docen_total;docen_oficial;docen_nooficial;alumn_total;alumn_oficial;alumn_nooficial;alumn_rural;alumn_urbano;alumn_pre;alumn_pri;alumn_sec;alumn_med;alumn_jov;alumn_acel;alumn_pre_o;alumn_pri_o;alumn_sec_o;alumn_med_o;alumn_jov_o;alumn_acel_o;alumn_pre_p;alumn_pri_p;alumn_sec_p;alumn_med_p;alumn_jov_p;alumn_acel_p;alumn_pre_u;alumn_pri_u;alumn_sec_u;alumn_med_u;alumn_jov_u;alumn_acel_u;alumn_pre_r;alumn_pri_r;alumn_sec_r;alumn_med_r;alumn_jov_r;alumn_acel_r;alumn_mpre;alumn_mpri;alumn_msec;alumn_mmed;alumn_mjov;alumn_macel;alumn_hpre;alumn_hpri;alumn_hsec;alumn_hmed;alumn_hjov;alumn_hacel;alumn_prejar;alumn_jardin;alumn_transi;alumn_pri1;alumn_pri2;alumn_pri3;alumn_pri4;alumn_pri5;alumn_sec6;alumn_sec7;alumn_sec8;alumn_sec9;alumn_med10;alumn_med11;alumn_med12;alumn_med13;alumn_cicloj1;alumn_cicloj2;alumn_cicloj3;alumn_cicloj4;alumn_cicloj5;alumn_cicloj6;alum_totalsu;alum_ruralsu;alum_urbanosu;alumn_presu;alumn_prisu;alumn_secsu;alumn_medsu;alumn_jovsu;alumn_presu_u;alumn_prisu_u;alumn_secsu_u;alumn_medsu_u;alumn_jovsu_u;alumn_presu_r;alumn_prisu_r;alumn_secsu_r;alumn_medsu_r;alumn_jovsu_r;alumn_mpresu;alumn_mprisu;alumn_msecsu;alumn_mmedsu;alumn_mjovsu;alumn_hpresu;alumn_hprisu;alumn_hsecsu;alumn_hmedsu;alumn_hjovsu;adies_serv_2;insc_tot_2;insc_ofic_1;insc_ofic_2;aadm_pres_2;matr_tot_1;matr_tot_2;matr_ofic_1;matr_ofic_2;grad_tot_1;grad_tot_2;grad_nofi_1;grad_nofi_2;grad_ofic_1;grad_ofic_2;s11_total;s11_leng;s11_mate;s11_filo;s11_biol;s11_quim;s11_fisi;s11_soci;s11_ingles;s11_total_ca;s11_total_cf;s11_total_jc;s11_total_jm;s11_total_jn;s11_total_js;s11_total_jt;s11_total_h;s11_total_m;s11_total_r;s11_total_u;s11_total_e1;s11_total_e2;s11_total_e3;s11_total_e4;s11_total_e5;s11_total_e6;s11_total_nt;s11_total_t;s11_total_epn;s11_total_epsi;s11_total_epsc;s11_total_ept;s11_total_emn;s11_total_emsi;s11_total_emsc;s11_total_emt;n_icfes;col_total;col_total_o;col_total_p;col_total_jn;col_total_js;col_total_jt;col_total_mx;col_total_m;col_total_f;subsidiado;cober_subsidiado;contributivo;especial;nacimientos;naci_bajopeso;defunciones;defun_menores;defun_ninez;TMI;prestadores;sedes;tacued;turbacued;truracued;taseo;turbaseo;truraseo;talcan;turbalcan;truralcan;icee_cm;icee_resto;icee_tot;catastro;g_ures_ani;g_ures_con;g_u_tot;cob_gres_pot;cob_gres_efec
44001;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;205,0700073;;;13;;;6887,08;1283,659;1278,259;876,315;81,5;;60,714;5,4;0;0;0;8060,064;2958,38;2958,38;1104,904;355,108;1498,368;0;;-1674,721;0;5603,421;0;0;436,657;4665,027;-1172,984;0;0;0;1172,984;250,6793086;122,380874;81,36134617;18,56024614;63,22007127;-131,2170132;33,49;955;13;;;;;;;;;;38,29665351;32,91044759;125735;;;82000;708684;16700;0;244718;82540;0;0;0;119523;3519775;155099;5101684;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44;4458;La Guajira;Norte;Riohacha;28054;99171;127225;0,220506981;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;1;;8;36;15;18;3209;261;;7;1;;;1;3209;4476;;;;;;;;;;16312;;16506;;;;;191;140;51;1591;1054;537;36491;26661;9830;9889;26602;4409;18869;9777;3436;;;2689;14626;7118;2228;;;1720;4243;2659;1208;;;3096;12204;8354;2948;;;1313;6665;1423;488;;;;;;;;;;;;;;;629;932;2848;6026;3945;3224;2969;2705;3040;2426;2242;2069;1934;1502;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1037;0;;4428;4428;4428;4428;;;;;;;46,61183548;47,29732895;49,23246002;47,52706909;47,50064087;47,72581482;49,39385223;;;47,02593613;43,56278229;47,48904419;47,93622208;42,77597809;;43,80145264;47,34640121;46,09085083;;;;;;;;;;;;;;;;;;;1405;;;;;;;;;;32241;0,579576286;;;3108;209;413;107;21;;;;;;;;;;;;;;;;;;;;;
44001;2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;2;;;14910,247;3862,447;1946,258;1171,269;124,714;;94,105;849,927;1066,262;1066,262;0;13539,611;0;0;0;0;0;0;;3862,447;777,672;6936,144;0;3333,984;1603,88;11935,731;1370,636;3340,867;3340,867;0;-4711,503;66,35950081;77,60251685;53,67051263;13,05315734;87,06224325;47,90779006;52,82;563;7;;;;;;;;;;40,69258142;35,36883358;343219;;41994;20034;804613;;35385;77526;2676817;56127;51200;0;18221;3710045;27789;13539611;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44;4458;La Guajira;Norte;Riohacha;29005;105584;134589;0,215507954;;;;;;;;;;;2;;;;;;;;;;;;;;;;1;;0;1;2;20;5;14;1628;148;;5;7;;1;;1628;4337;;;;;;;;;;16774;;17730;;;;;192;136;56;1542;936;606;34975;24204;10771;9388;25587;4145;19303;8786;2741;;;2380;13817;6310;1697;;;1765;5486;2476;1044;;;3400;12524;7332;2331;;;745;6779;1454;410;;;;;;;;;;;;;;;735;1002;2408;6748;3687;3184;2908;2776;2903;2151;1999;1733;1445;1296;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;625;0;625;;3767;4810;3767;4810;53;461;;57;53;404;46,266819;46,91688919;48,11184311;47,75180817;47,79163742;47,54331207;48,36954498;;;46,52036285;41,76472092;48,68009949;47,73432541;41,75846481;;43,43252563;47,01987839;45,64092636;;;;;;;;;;;;;;;;;;;1388;24;11;13;3;0;4;23;0;1;39089;0,697929594;;;3126;221;354;86;20;;;;;;;;;;;;;;;;;;;;;
44001;2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;94;30;;2;1;20574,352;5995,08;2589,613;1142,401;274,421;;326,277;1819,092;1586,375;1586,375;0;22589,665;4282,493;3110,966;941,094;1177,484;992,388;1171,527;;1712,587;0;10424,809;1496,348;2658,115;3296,079;15011,093;-2015,313;-1171,527;0;1171,527;3186,84;66,80634364;57,95041321;58,37940364;12,58660783;81,04224653;28,56654123;51,55;841;11;;;;;;;;;;40,24015203;34,14209303;;0;103456;17349;1986978;24363;23384;1411660;2760943;10000;86340;55433;21961;6847278;43000;18713758;4;12040445681;3263970635;3263970635;0;0;0;5047586867;4518857040;528729827;0;1328560128;;1911830353;0;226827330;97211713;1587791310;0;99276668;0;389221083;0;0;;;;;;44;4458;La Guajira;Norte;Riohacha;29734;112655;142389;0,20882231;;;;;;;;;;;3;;;;;;;;;;;;;;;;1;;1;2;3;41;14;65;6401;409;;8;10;;2;1;6401;8983;;;;;;;;;;17123;;18958;;;;;200;142;58;1582;975;607;38390;27360;11030;9475;28915;4488;20373;10302;3227;;;2835;15041;7342;2142;;;1653;5332;2960;1085;;;3601;13528;8940;2846;;;887;6845;1362;381;;;;;;;;;;;;;;;792;913;2783;6961;3877;3604;3004;2927;3682;2414;2443;1763;1897;1330;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1311;1412;1311;;5427;5378;5427;5378;439;269;17;38;422;231;46,37952805;47,10144806;47,41412354;48,29112244;47,90116501;47,1995697;48,65845108;;;46,67708969;42,72662735;47,44127655;49,06391144;40,55025101;;44,25821304;45,95554733;46,75101089;;;;;;;;;;;;;;;;;;;1394;26;11;15;3;0;4;25;0;1;40850;0,724616716;;;3043;210;418;101;23;;;;;;;;;;;;;;;;;;;;;
44001;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1046,02002;149,3200073;48,74000168;29;7;2;24341,824;8869,008;7492,888;2850,412;2256,905;;1303,376;323,226;1052,894;1026,394;26,5;24456,177;5112,196;4766,596;1640,605;2163,07;962,921;345,6;;3756,812;0;11969,195;116,918;3386,703;4123,707;15220,274;-114,353;0;0;0;114,353;52,39718956;45,83872186;53,49676754;30,78194962;79,09650392;42,35887486;59,34;289;6;;;;;;;;;;42,30381963;34,76325401;1440496;1924849;195878;8634;1847834;289;12000;202737;1440496;0;209402;10917;3000;8267353;309200;19343980;4;11228257982;1210019419;0;1210019419;0;1210019419;5546338446;5023971644;522366802;0;1159958656;;2769440515;1100231760;198041717;84875021;1386292017;0;120386003;0;422114972;0;0;;;;;;44;4458;La Guajira;Norte;Riohacha;30364;120239;150603;0,201616168;;;;;;;;;;;2;0;0;2;23;8;0;0;0;0;0;0;0;0;123;36;21;;1;;8;23;11;72;2332;314;;8;7;;1;3;2332;4307;59;34;56;1;29;3;57;178;;17462;;20101;;;;;122;77;45;1397;877;520;35855;26796;9059;6823;29032;4208;18291;10131;3225;;;2505;14392;7688;2211;;;1703;3899;2443;1014;;;3547;13712;8887;2886;;;661;4579;1244;339;;;;;;;;;;;;;;;543;877;2788;5371;3741;3388;3045;2746;3474;2552;2322;1783;1923;1302;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24;1268;1479;1268;;4900;4622;4900;4622;871;7;8;6;863;1;46,1992569;46,37858963;48,84634399;48,59106064;47,86331558;47,07837296;48,38895798;;;46,43367386;40,24159622;48,61083603;47,16321564;39,13186646;;44,17390442;46,54484177;45,92615128;;;;;;;;;;;;;;;;;;;1400;24;14;10;4;0;4;23;0;1;44001;0,775628392;;;3222;229;359;79;16;;;;;;;;;;;;;;;;;;;;;
44001;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;197,2579956;1008,755981;;40;15;;21496,717;6445,211;4481,063;1508,438;716,045;;835,659;725,804;1238,344;1123,247;115,097;14371,826;3725,581;3725,411;1541,785;1194,274;989,352;0,17;;2719,63;0;12708,218;0;2343,288;2950,803;7695,442;7124,891;0;0;0;-7124,891;67,3507498;51,90551145;64,8776369;20,84533652;74,07719103;42,19613601;53,94;726;10;;;;;;;;;;40,2722616;33,80823717;2341918;0;189417;30000;1020725;24000;25430;127754;2341918;67213;141580;0;28065;6346763;0;10646245;4;13077432645;2006889068;0;2006889068;0;2006889068;6494949365;5824839528;670109837;0;1186175104;;2832033182;1125098313;115724399;86793299;1504417171;0;123106871;0;434279080;0;0;;;;;;44;4458;La Guajira;Norte;Riohacha;31014;128117;159131;0,194896027;;;;;;;;;;;2;0;0;1;14;2;0;0;0;0;0;0;0;0;99;19;8;;0;1;11;19;16;29;2065;255;;3;3;;1;;2065;4586;48;37;11;0;19;0;11;115;;17905;;21039;;;;;167;112;55;1334;883;451;35661;29611;6050;7097;28564;4286;18260;10123;2992;2064;;2704;15298;9020;2589;1878;;1582;2962;1103;403;186;;3299;13612;9043;2610;2064;;987;4648;1080;382;0;;2170;9041;5147;1621;950;;2116;9219;4976;1371;1114;;487;549;3250;5000;3827;3428;3109;2896;3119;2714;2355;1935;1635;1357;0;0;160;120;403;605;669;107;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;845;1278;845;;4919;4608;4919;4608;249;321;;17;249;304;46,18798065;47,22636414;47,77030182;48,16214371;47,00200272;47,9961319;48,46078491;;;46,41709518;42,38092804;47,66493225;48,65998077;40,60360336;;43,56505966;46,18494415;46,19040298;;;;;;;;;;;;;;;;;;;1515;31;20;11;5;0;7;30;0;1;50178;0,879228431;;;3042;203;484;73;22;;;;;;;;;;;;;;;;;;;;;
44001;2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;251,6053925;1328,026001;;48;36;;25098,796;10168,01033;5894,26;2559,97;878,292;;852,689;2241,23;2032,52033;1146,14233;886,378;25757,83319;4227,477;4227,477;1776,345;1495,244;955,888;0;;5940,53333;0;13277,818;0;1652,96767;8086,793;13443,56319;-659,03719;-3113,973;0;3113,973;3773,01019;35,119762;44,45623967;61,00028995;23,48423406;83,58760627;58,4237539;60,47489482;383;6;73,63953834;30,11166667;40,15;34,2244795;47,34968716;42,64735998;;960;;40,97717048;33,65022265;2767579;689642;247639;159245;4850787;0;68536;104460;2767579;67281;202790;33953;26490;12040665;33618;21592824;4;13493308752;2150685403;0;2150685403;0;2150685403;6671633649;5992101712;679531937;0;1205012352;;2877007924;1142965691;117562186;88171639;1528308408;0;125061897;0;463907479;0;0;;;;;;44;4458;La Guajira;Norte;Riohacha;31663;136223;167886;0,188598216;;;;;;;;;;;1;0;0;1;10;1;1;0;0;1;0;0;13;2;90;26;4;;1;3;8;20;21;61;4744;332;7;11;9;;;;4744;5703;41;32;11;1;16;0;12;100;19179;18550;21527;21747;36,6015358;64,02970886;0,810000002;8,388367653;93;57;36;1405;1037;368;35668;30346;5322;8722;26946;4580;17937;10058;3093;1809;;3256;15273;9074;2743;1739;;1324;2664;984;350;70;;2913;12362;8957;2714;1630;;1667;5575;1101;379;179;;2261;8645;5156;1704;853;;2319;9292;4902;1389;956;;344;518;3718;5307;3676;3180;2932;2842;3169;2528;2320;2041;1716;1377;0;0;337;98;323;447;548;56;0;0;0;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;24;693;1417;693;;5031;5295;5031;5295;85;359;40;26;45;333;48,26954651;48,64765549;48,60744095;49,39012527;48,7678299;48,43418884;49,58263779;;;48,70166016;42,03478241;48,59231186;50,03899384;42,17227554;;45,47845459;49,03452301;47,65565109;;;;;;;;;;;;;;;;;;;1296;27;18;9;2;0;6;26;0;1;83509;1,204792683;;;3699;297;493;104;14;27,32;;;72,07661964;86,0518487;20,56704261;;;;57,6218493;72,039949;4,479949875;;;;;;;;;
44001;2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;133,4067993;3021,235107;;18;24;;30898,30257;10765,33257;7349,222;2160,611;609,976;;3184,25;350,671;3065,439571;1178,965571;1886,474;33991,867;5839,293;5839,293;1449,213;1270,031;3120,049;0;;4926,039571;0;15153,893;4457,038;522,039;6532,688;21619,886;-3093,564429;0;0;0;3093,564429;55,71625707;32,87552763;58,96548048;23,78519656;82,82149963;45,75835942;60,85;422;8;0;65,85;34,65;33,75246776;47,30299657;26,56283248;Critico;1074;15;55,57009644;43,76966;2162370;76845;189944;58194;1554602;39020;3000;49674;681756;6889;104779;276886;125000;4772287;71389;8792665;4;14662184471;2035753661;0;2035753661;0;2035753661;7372867493;6722680622;650186871;0;1246416896;;2975862660;1182238287;121601652;91201239;1580821482;0;129359056;0;490157871;411766793;0;;;;;;44;4458;La Guajira;Norte;Riohacha;32294;144415;176709;0,18275243;;;;;;;;;;;1;0;0;3;1;0;1;0;0;2;1;0;0;0;83;12;9;;0;2;6;10;19;11;3691;171;;9;1;;;;3691;4655;180;99;12;23;63;1;35;354;;19420;;22260;;;;;94;57;37;1314;946;368;34173;29451;4722;9097;25076;4973;17869;8629;2702;1530;;3789;15653;7673;2336;1455;;1184;2216;956;366;75;;3134;11729;7796;2417;1328;;1839;6140;833;285;202;;2446;8680;4373;1426;805;;2527;9189;4256;1276;725;;419;643;3911;5206;3910;3173;2831;2749;2786;2244;1891;1708;1497;1205;0;0;360;222;304;256;328;60;0;0;0;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;24;1006;1433;1006;;5838;5729;5838;5729;55;35;30;17;25;18;45,86634827;47,43096161;48,01808167;46,99651718;46,92528534;47,29656601;47,94387436;46,26821518;;46,342556;41,25662994;49,84056091;46,76740265;41,77824402;;44,8459549;45,92787933;45,81719208;32,52531815;35,93185043;43,79302216;46,92210007;44,10568237;51,23859024;;;44,6976738;45,42831802;42,3668251;45,45735931;45,22267151;44,50508881;45,00375748;45,04956055;46,83556747;42,88520432;1869;30;19;11;3;0;7;29;0;1;81717;0,943832294;;;4008;298;508;88;27;26,23;;;;;;;;;;;;;;;22818;20588;18336;18641;90,22701263;80,35761261
44001;2007;;137;98;288;;;;252;5364;8,4;132;;;320;37,2;;90;;;3566;238;450;112;;360;72;1788;184;;1362;1042;566;;9568;;64,94069672;2281,226074;;8;41;;52120,762;8571,696;6718,049;2503,119;535,355;;2293,144;518,559;1335,088;1335,088;0;76861,449;7357,128;6915,128;5124,167;694,313;1096,648;442;;1214,568;15278,765;22684,21;4616,167;969,924;21105,511;48398,81;-24740,687;-1825,4;0;1825,4;26566,087;59,84502157;21,96284083;46,08393484;12,88939137;90,42806492;14,16951791;60,14;659;11;0;41,25666667;75,5;0;30,06908145;36,70643703;Critico;971;2;57,11180342;48,67141088;;3164230;225494;124439;9932959;120407;146900;165440;3509777;62757;212246;252487;210127;31448532;373432;52693720;4;19809651899;2242653572;0;2242653572;0;2242653572;11619084207;10970874622;648209585;0;1349715456;;3222491324;1280217892;131679555;98759666;1711834211;0;140079864;0;678763203;556864294;0;;;;;;44;4458;La Guajira;Norte;Riohacha;32933;152754;185687;0,177357599;;;;;;;;;;;1;0;0;2;3;0;1;0;0;1;0;0;0;0;61;11;7;;0;4;8;24;7;15;2658;82;;24;3;;1;2;2658;4854;214;148;10;69;85;0;79;457;;20516;;22660;;;;;82;56;26;1487;1180;307;36924;33026;3898;9581;27343;4599;18426;10505;3394;1224;;3723;16701;9555;3047;1141;;876;1725;950;347;83;;2865;12080;9358;3040;910;;1734;6346;1147;354;314;;2250;8985;5405;1846;630;;2349;9441;5100;1548;594;;366;370;3863;5158;3905;3424;3164;2775;3254;2845;2371;2035;1805;1589;0;0;265;210;252;219;234;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;975;1358;975;885;5921;5640;5921;5640;57;66;24;9;33;57;46,3123703;47,28886795;48,2206459;47,96546173;47,24340057;47,69472885;48,22745895;46,56594086;47,06240082;47,00681686;42,12533569;51,65195465;47,20254135;42,08773422;44,22097778;44,46391678;46,65982437;45,99372482;41,64230347;44,9889183;41,51990509;44,32039261;46,86840439;;;;43,77965164;43,02766037;36,33360291;43,22862244;42,9368782;46,7220459;41,35037613;42,56045532;42,50502777;46,37667084;1919;32;20;12;4;0;7;31;0;1;131522;1;;;4239;378;533;110;31;25,13;;;;;;;;;;;;;;;22818;21223;19487;19807;93,00990295;85,40187836
44001;2008;60;96;117;422;;;;270;11532;8,4;185;;;336;45,15;;110;;;3293,2;296;450;;;390;84;1699;245;;780;944;720;;3540;;188,9599762;1948,515015;3373,754883;30;11;1;70977,281;9125,036;6978,577;2539,18;510,068;;2604,559;501,61;1644,849;1644,849;0;54665,87518;5509,942177;4169,852;2793,384;1126,807;249,661;1340,090177;;3615,093823;13774,191;44067,087;2352,242;1658,725;9075,985;40079,948;16311,40582;-3470,613842;0;3470,613842;-12840,79198;40,50080582;15,63761843;64,4036167;9,832127833;89,92069155;39,61731025;65,07;358;9;0;33,26333333;0;68,514;66,79026125;25,01339865;Critico;1068;12;66,37003141;49,89838952;;1902244;65120;68802;3149675;916027;24826;189531;4834928;81718;612244;415931;379782;35154960;311276;53853172;4;32336974171;3296057649;0;3296057649;663690000;2632367649;17512084887;16575263773;936821114;0;;1956776531;3688588715;1509217406;137774261;103330694;1729850617;208415737;523776514;0;1906014043;789368545;2664307287;;;;;;44;4458;La Guajira;Norte;Riohacha;33572;161159;194731;0,172401935;;;;;;;;;;;1;0;0;1;1;0;1;0;0;1;0;0;4;1;71;14;8;;0;;3;29;9;;3335;87;;2;;;1;;3335;7591;154;82;15;53;70;0;68;321;;21808;;23040;;;;;84;59;25;1277;955;322;38569;34865;3704;9332;29237;4780;19590;10768;3431;2422;;3881;18062;9832;3090;2339;;899;1528;936;341;83;;2886;13394;9778;3179;1673;;1894;6196;990;252;749;;2365;9506;5574;1890;1313;;2415;10084;5194;1541;1109;;263;563;3954;5421;4289;3654;3308;2918;3485;2777;2457;2049;1840;1591;0;0;666;491;387;410;409;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75;996;1930;996;895;6047;5406;6047;5406;152;514;60;35;92;479;46,04747772;47,94249725;47,08276749;47,56694412;47,20715714;46,76514435;48,92024994;47,11164093;47,37754822;46,84214783;40,77165985;50,71141434;47,15248871;40,88465881;47,57338333;45,12359619;46,67982864;45,60290146;44,71112061;46,36649323;44,26885605;47,36821365;52,07897568;52,37253952;48,0271759;;46,65174103;42,1950798;43,32944489;44,11423874;45,15823364;51,18032837;42,6385498;43,85580063;45,63471603;50,77734756;1841;32;21;11;4;0;5;31;0;1;136633;1;;;4373;413;484;92;24;24,04;;;85,05;100;0;91,96;100;46,21;85,05;100;0;;;;22818;22023;20812;21148;96,51590729;91,20869446
44001;2009;60;128;152;253;;;;150,8;25368;8,4;215;;;336;38,8;;105;;;1040,5;296;468;;;280;84;1663,2;96;;1050;150;443;;4360;;3253,352539;3546,096436;;403;36;;90700,239;14326,407;9228,533;3607,516;357,079;;3194,929;623,871;4474,003;4474,003;0;80611,08696;4968,807961;4825,799;2379,856;1282,895;1163,048;143,008961;;9357,599039;17381,177;49850,888;6,453;9135,314;14415,664;61226,615;10089,15204;-3790,966794;0;3790,966794;-6298,185245;52,96604781;8,057519654;79,05830105;10,1747615;93,83607374;65,31713806;64,88;193;5;78,088;49,11;52,68;42,92;53,9010312;58,4447578;Bajo;731;1;47,39967073;36,38567852;;1627627;332604;107298;5720225;503386;10000;291292;12835177;314987;5106218;522410;394451;36365012;221716;77291624;4;49856892382;13414013665;9648044676;3765968989;717516000;3048452989;20427552129;19249423698;1178128431;0;;3036275315;4752226901;1966754495;148341547;111256158;2525874701;0;744826016;0;2497821269;1242752660;3741424427;;;;;;44;4458;La Guajira;Norte;Riohacha;34231;169644;203875;0,167901903;;;;;;;;;;;;0;0;8;1;0;0;0;0;0;0;0;0;0;60;12;0;;0;3;;25;12;1;3049;108;;10;;;;1;3049;5761;227;106;16;72;83;0;88;432;;23216;;23518;;;;;87;59;28;1445;1112;333;41553;37249;4304;11982;29571;5125;21748;11183;3497;2542;45;3918;20052;10200;3079;2542;45;1207;1696;983;418;0;0;3083;13639;9720;3129;1685;45;2042;8109;1463;368;857;0;2491;10611;5645;1975;1385;0;2634;11137;5538;1522;1157;0;372;449;4304;5632;4918;4249;3586;3363;3453;2950;2497;2283;1902;1595;0;0;893;324;386;395;499;45;124;0;124;61;0;35;28;0;61;0;35;28;0;0;0;0;0;0;37;0;8;7;0;24;0;27;21;0;15;2247;1736;2247;1370;6839;6628;6839;6628;161;708;22;27;139;681;46,18111801;47,92567825;47,56823349;47,33497238;47,24636078;47,51892853;48,74565125;46,62948608;47,2489624;46,79240417;40,06825256;52,1451149;47,96530914;40,81281281;35,92378616;42,69435883;46,619133;45,84340668;44,19285965;46,55023575;44,01390839;48,20583725;53,07052612;56,10965347;58,02672195;48,87078094;46,68618011;42,6715126;42,17575073;44,40916061;46,02567673;51,13424683;41,92178726;44,15291214;45,42041397;51,1082077;1771;32;20;12;3;0;6;31;0;1;134356;1;59257;;4087;349;520;94;22;22,95;;;83,75;99,97;0;90,49;99,97;41,53;83,75;99,97;0;;;;22974;22974;22173;22533;100;96,51345062
